system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,img_exists,.geo
60,21304.24313725487,0.003763403847378655,80.17647058823529,Harris,2020-07-12,Texas-23,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,21304.24313725487,0.011534110299669678,245.72549019607845,Harris,2020-07-13,Texas-23,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,21304.24313725487,0.10501709868346223,2237.309803921568,Harris,2020-07-14,Texas-23,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,21304.24313725487,1.0,21304.24313725487,Harris,2020-05-28,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,21304.24313725487,0.5200000662668333,11078.207843137261,Harris,2020-05-29,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,21304.24313725487,0.0381770583490503,813.3333333333337,Harris,2020-05-30,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,21304.24313725487,1.0,21304.24313725487,Harris,2020-05-28,Texas-32,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,21304.24313725487,0.5200000662668333,11078.207843137261,Harris,2020-05-29,Texas-32,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,21304.24313725487,0.0381770583490503,813.3333333333337,Harris,2020-05-30,Texas-32,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,11225.623529411798,0.9955825852199486,11176.03529411768,Dallas,2020-08-16,Texas-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,11225.623529411798,1.0,11225.623529411798,Dallas,2020-08-17,Texas-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,11225.623529411798,0.0,0.0,Dallas,2020-08-18,Texas-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,11225.623529411798,0.843429981967025,9468.027450980404,Dallas,2021-02-14,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,11225.623529411798,0.9963476416349989,11184.623529411798,Dallas,2021-02-15,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,11225.623529411798,0.0049319938208594065,55.36470588235295,Dallas,2021-02-16,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,11225.623529411798,1.0,11225.623529411798,Dallas,2021-02-17,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
