NAME,total_pop,median_income,ZCTA5CE20
ZCTA5 01420,41661,65599.0,01420
ZCTA5 01430,6457,111801.0,01430
ZCTA5 01431,3187,105750.0,01431
ZCTA5 01432,8118,99375.0,01432
ZCTA5 01434,1763,106875.0,01434
ZCTA5 01436,3694,90225.0,01436
ZCTA5 01438,385,83953.0,01438
ZCTA5 01440,21231,57289.0,01440
ZCTA5 01450,11212,186750.0,01450
ZCTA5 01451,5362,199191.0,01451
ZCTA5 01452,4338,114922.0,01452
ZCTA5 01453,43550,75954.0,01453
ZCTA5 01460,10084,151488.0,01460
ZCTA5 01462,11765,106473.0,01462
ZCTA5 01463,11667,124052.0,01463
ZCTA5 01464,7092,114118.0,01464
ZCTA5 01468,4009,106581.0,01468
ZCTA5 01469,7168,100402.0,01469
ZCTA5 01473,8220,95674.0,01473
ZCTA5 01474,1902,117109.0,01474
ZCTA5 01475,10180,85379.0,01475
ZCTA5 01501,16763,101992.0,01501
ZCTA5 01503,3514,123077.0,01503
ZCTA5 01504,9195,95132.0,01504
ZCTA5 01505,4855,133292.0,01505
ZCTA5 01506,3443,71122.0,01506
ZCTA5 01507,13338,113896.0,01507
ZCTA5 01510,15347,89888.0,01510
ZCTA5 01515,2120,77122.0,01515
ZCTA5 01516,9213,138276.0,01516
ZCTA5 01518,3047,102500.0,01518
ZCTA5 01519,7634,144452.0,01519
ZCTA5 01520,16893,141508.0,01520
ZCTA5 01521,2585,81250.0,01521
ZCTA5 01522,2890,116894.0,01522
ZCTA5 01523,8395,111506.0,01523
ZCTA5 01524,6077,88933.0,01524
ZCTA5 01525,31,,01525
ZCTA5 01527,13852,109119.0,01527
ZCTA5 01529,3176,95144.0,01529
ZCTA5 01531,984,99318.0,01531
ZCTA5 01532,15647,160801.0,01532
ZCTA5 01534,5893,123370.0,01534
ZCTA5 01535,4750,80380.0,01535
ZCTA5 01536,7282,103793.0,01536
ZCTA5 01537,1935,67750.0,01537
ZCTA5 01540,11420,100757.0,01540
ZCTA5 01541,3497,163750.0,01541
ZCTA5 01542,2815,106719.0,01542
ZCTA5 01543,9102,150685.0,01543
ZCTA5 01545,38734,127088.0,01545
ZCTA5 01550,17669,55182.0,01550
ZCTA5 01560,4734,94464.0,01560
ZCTA5 01561,0,,01561
ZCTA5 01562,11955,76225.0,01562
ZCTA5 01564,8053,131058.0,01564
ZCTA5 01566,6795,122844.0,01566
ZCTA5 01568,7828,147198.0,01568
ZCTA5 01569,14039,124057.0,01569
ZCTA5 01570,17671,70644.0,01570
ZCTA5 01571,11885,87306.0,01571
ZCTA5 01581,21360,133145.0,01581
ZCTA5 01583,7476,97736.0,01583
ZCTA5 01585,4841,69767.0,01585
ZCTA5 01588,10468,88487.0,01588
ZCTA5 01590,9268,138750.0,01590
ZCTA5 01602,25869,86128.0,01602
ZCTA5 01603,20678,58797.0,01603
ZCTA5 01604,40724,68823.0,01604
ZCTA5 01605,30590,51360.0,01605
ZCTA5 01606,22636,82640.0,01606
ZCTA5 01607,8630,63718.0,01607
ZCTA5 01608,5080,41319.0,01608
ZCTA5 01609,23256,58246.0,01609
ZCTA5 01610,27033,39570.0,01610
ZCTA5 01611,2188,113276.0,01611
ZCTA5 01612,5013,130787.0,01612
ZCTA5 01701,32973,124532.0,01701
ZCTA5 01702,38898,76636.0,01702
ZCTA5 01718,737,,01718
ZCTA5 01719,5462,151207.0,01719
ZCTA5 01720,23081,151339.0,01720
ZCTA5 01721,18634,124311.0,01721
ZCTA5 01730,14408,143424.0,01730
ZCTA5 01731,1784,71250.0,01731
ZCTA5 01740,5653,191208.0,01740
ZCTA5 01741,5209,247656.0,01741
ZCTA5 01742,18311,183657.0,01742
ZCTA5 01745,554,162350.0,01745
ZCTA5 01746,14902,149614.0,01746
ZCTA5 01747,6021,120750.0,01747
ZCTA5 01748,18748,191439.0,01748
ZCTA5 01749,19947,103086.0,01749
ZCTA5 01752,41391,94199.0,01752
ZCTA5 01754,10671,112524.0,01754
ZCTA5 01756,6238,135909.0,01756
ZCTA5 01757,30411,93100.0,01757
ZCTA5 01760,36274,133623.0,01760
ZCTA5 01770,4404,242688.0,01770
ZCTA5 01772,9867,188000.0,01772
ZCTA5 01773,5216,185288.0,01773
ZCTA5 01775,7111,166833.0,01775
ZCTA5 01776,18926,234427.0,01776
ZCTA5 01778,14070,207721.0,01778
ZCTA5 01801,40992,104780.0,01801
ZCTA5 01803,26004,134189.0,01803
ZCTA5 01810,35612,162694.0,01810
ZCTA5 01821,30854,138397.0,01821
ZCTA5 01824,26612,137778.0,01824
ZCTA5 01826,32309,102335.0,01826
ZCTA5 01827,3359,193583.0,01827
ZCTA5 01830,26885,72195.0,01830
ZCTA5 01832,25707,78151.0,01832
ZCTA5 01833,8389,148810.0,01833
ZCTA5 01834,6742,131952.0,01834
ZCTA5 01835,14681,102162.0,01835
ZCTA5 01840,6977,30696.0,01840
ZCTA5 01841,52738,51574.0,01841
ZCTA5 01843,28352,72630.0,01843
ZCTA5 01844,52780,93739.0,01844
ZCTA5 01845,31624,131852.0,01845
ZCTA5 01850,16806,66069.0,01850
ZCTA5 01851,32323,79330.0,01851
ZCTA5 01852,36546,76272.0,01852
ZCTA5 01854,29062,66645.0,01854
ZCTA5 01860,6717,100321.0,01860
ZCTA5 01862,11126,125159.0,01862
ZCTA5 01863,9570,128682.0,01863
ZCTA5 01864,15529,141442.0,01864
ZCTA5 01867,25443,154505.0,01867
ZCTA5 01876,30817,120891.0,01876
ZCTA5 01879,12385,140901.0,01879
ZCTA5 01880,27026,125707.0,01880
ZCTA5 01886,24524,174424.0,01886
ZCTA5 01887,23191,151034.0,01887
ZCTA5 01890,22809,208531.0,01890
ZCTA5 01901,1658,20699.0,01901
ZCTA5 01902,51931,59445.0,01902
ZCTA5 01904,20078,94809.0,01904
ZCTA5 01905,26986,74792.0,01905
ZCTA5 01906,28566,96064.0,01906
ZCTA5 01907,15208,116161.0,01907
ZCTA5 01908,3336,105867.0,01908
ZCTA5 01913,17279,91010.0,01913
