osm_id,name,type,lat,lon
490092404,Tulane Medical Center,hospital,29.9558065,-90.0762701
490173157,Ochsner Medical Center - West Bank Campus,hospital,29.8845972,-90.0273339
490221517,West Jefferson Medical Center,hospital,29.8917311,-90.0944024
589546932,Saint Bernard Parish Hospital,hospital,29.955125,-89.9886426
608481698,Saint Bernard Parish Fire Department,fire_station,29.9561383,-89.9840321
608707980,Saint Bernard Parish Sheriff's Office,police,29.9413712,-89.973643
608775695,New Orleans Fire Department Squirt 27,fire_station,29.9793169,-90.0586198
645116401,Joseph S. Yenni Building,government,29.9653854,-90.1893643
717765013,unnamed,water_works,29.9598469,-90.1265604
717765014,unnamed,water_works,29.9599959,-90.1315923
717765015,unnamed,water_works,29.9600696,-90.1310988
717765016,unnamed,water_works,29.9596029,-90.131892
722602697,Children's Hospital,clinic,30.0064419,-90.192573
722602698,Oschner Children's Health Center,clinic,30.0064515,-90.1934894
723925381,Omega Hospital,hospital,29.9991536,-90.1592063
727367332,Benchmark Urgent & Family Care,clinic,30.0057872,-90.1842864
740525652,Building 102,government,30.0265587,-89.9165651
740525653,Building 101,government,30.0267244,-89.9167646
743753114,East Jefferson Medical Complex,clinic,29.9838578,-90.1811398
764404715,New Orelans Coroners Office,government,29.9505887,-90.0872245
764404716,Emergency Medical Services,government,29.9501799,-90.0870724
767313073,New Orleans Lakefront Airport,aerodrome,30.0425634,-90.0251864
777854034,East Jefferson Ambulatory Surgery Center,clinic,30.014816,-90.1821842
782001760,Sherriff's Office,police,29.9582861,-90.0058676
796340620,Eastbank Consolidated Fire Department Station 11,fire_station,29.9635158,-90.1617586
796340635,Concentra Urgent Care,clinic,29.9626818,-90.1676111
817725479,Ochsner Health Clinic,clinic,30.0031834,-90.1459809
817725481,Ochsner Urgent Care,clinic,30.0033087,-90.1476336
828311626,Orleans Levee District Police,police,30.0299402,-90.0611841
828318008,Fresenius Kidney Care,clinic,30.0211641,-90.0605344
837468210,unnamed,substation,30.0278697,-89.9012535
888038153,Jefferson Parish Sheriff's Office Heliport,aerodrome,29.9030656,-90.0694753
891398116,Jefferson Parish Fire Station 15,fire_station,29.9972133,-90.1347993
981561219,New Orleans Power Station,plant,30.0124567,-89.9361608
982379133,Napoleon Substation,substation,29.9168492,-90.0993763
1064707737,Primary Care Plus,clinic,29.8980506,-90.1456377
1064708286,DaVita Dialysis,clinic,29.9031264,-90.1523385
1064715574,East Bank Consolidated Fire Department,fire_station,29.9788882,-90.1429052
1064999569,Jefferson Parish Sheriff's Administrative Office,government,29.9071924,-90.0646235
1107585594,Paris Substation,substation,29.9990555,-90.1253812
1155623492,New Orleans Solar Power Plant,plant,30.0111632,-90.0237846
1173737021,New Orleans Police Department Criminal Evidence Processing Complex,government,29.9614506,-90.0928228
1173737031,Orleans Parish Sheriff's Office,police,29.960128,-90.0948302
1173853630,"Paul D. Connick, Sr. Emergency Operations and Communications Center",government,29.9153594,-90.0660553
1173853634,Parish of Jefferson Office of the District Attorney,government,29.916504,-90.0678315
1176577544,unnamed,substation,30.0303353,-89.9007073
1176577545,unnamed,substation,30.0299836,-89.9007367
1176577548,unnamed,substation,30.0274682,-89.9039474
1176577563,unnamed,substation,30.0110848,-89.9372503
1176577573,TCI Alvar Solar Farm,plant,29.9927789,-90.0286101
1176613410,unnamed,substation,29.9385267,-89.9719129
1192677539,unnamed,substation,29.8846011,-90.171194
1202394839,Ochsner Health Center,clinic,29.9745238,-90.1012368
